model,k,recall,ndcg,n_sessions
two_tower,10,0.13613861386138615,0.08050513572335836,808
two_tower,20,0.1608910891089109,0.08658855194549128,808
two_tower,50,0.17574257425742573,0.0895053556418097,808
category_popularity,10,0.16831683168316833,0.10756207162192567,808
category_popularity,20,0.2103960396039604,0.1183934643796331,808
category_popularity,50,0.275990099009901,0.1312002307930853,808
itemknn,10,0.0,0.0,808
itemknn,20,0.0,0.0,808
itemknn,50,0.0,0.0,808
ease,10,0.0,0.0,808
ease,20,0.0,0.0,808
ease,50,0.0,0.0,808
als,10,0.0,0.0,808
als,20,0.0,0.0,808
als,50,0.0,0.0,808
