model,metric,k,value,n_sessions,retrieval_ceiling
two_stage_lambdarank,hit_rate,10,0.5086660390940805,18059,0.8987762334570021
two_stage_lambdarank,hit_rate,20,0.6299352123594884,18059,0.8987762334570021
two_stage_lambdarank,ndcg,10,0.31428771587068827,18059,0.8987762334570021
two_stage_lambdarank,ndcg,20,0.3450134156110704,18059,0.8987762334570021
two_stage_lambdarank,mrr,10,0.2541943207317813,18059,0.8987762334570021
two_stage_lambdarank,mrr,20,0.26265982877178345,18059,0.8987762334570021
retrieval_only,hit_rate,10,0.48817763995791574,18059,0.8987762334570021
retrieval_only,hit_rate,20,0.6121047677058531,18059,0.8987762334570021
retrieval_only,ndcg,10,0.2964060238427211,18059,0.8987762334570021
retrieval_only,ndcg,20,0.32778213473015855,18059,0.8987762334570021
retrieval_only,mrr,10,0.2372375335869992,18059,0.8987762334570021
retrieval_only,mrr,20,0.24587213513408646,18059,0.8987762334570021
two_stage_binary,hit_rate,10,0.5071709396976577,18059,0.8987762334570021
two_stage_binary,hit_rate,20,0.6275541281355557,18059,0.8987762334570021
two_stage_binary,ndcg,10,0.3106590143170312,18059,0.8987762334570021
two_stage_binary,ndcg,20,0.34110084549782793,18059,0.8987762334570021
two_stage_binary,mrr,10,0.24988863662931995,18059,0.8987762334570021
two_stage_binary,mrr,20,0.2582457098651352,18059,0.8987762334570021
