model,metric,k,value,ci_low,ci_high,n_sessions
popularity,hit_rate,10,0.01578160474001883,0.013954261033279805,0.017721080901489564,18059
popularity,ndcg,10,0.00647309743728119,0.005706051612994766,0.007267565854947429,18059
popularity,mrr,10,0.003640382450117208,0.003176725297239999,0.004107683962707773,18059
popularity,hit_rate,20,0.027631651807962787,0.025139819480591394,0.030124868486627168,18059
popularity,ndcg,20,0.009395389736713219,0.008522585968581206,0.010294628487131498,18059
popularity,mrr,20,0.004402862630593819,0.0039427461287447185,0.004875558651774537,18059
popularity,hit_rate,50,0.04540672240987873,0.04269339387562988,0.0483969212027244,18059
popularity,ndcg,50,0.012849035850935966,0.011962810318173719,0.01377125043805473,18059
popularity,mrr,50,0.004929666126763283,0.004463517204298288,0.005402521566962236,18059
itemknn,hit_rate,10,0.49576388504346863,0.48817763995791574,0.5030732598704247,18059
itemknn,ndcg,10,0.3126915545543118,0.3070736877259604,0.31800994972873897,18059
itemknn,mrr,10,0.2557375208421778,0.25053691900094666,0.26087079651618106,18059
itemknn,hit_rate,20,0.5847499861564871,0.5775984273769311,0.5916177529209812,18059
itemknn,ndcg,20,0.3353389738451103,0.3300111835340517,0.34061329931541956,18059
itemknn,mrr,20,0.2620326062899849,0.2568624473470819,0.2671473746850016,18059
itemknn,hit_rate,50,0.6747328202004541,0.6681959133949831,0.6814884545102166,18059
itemknn,ndcg,50,0.3534039004183212,0.34830335727174716,0.35846467681118155,18059
itemknn,mrr,50,0.26502105317497854,0.2599321755061252,0.27005782034275505,18059
ease,hit_rate,10,0.494601029957362,0.4872916551304059,0.5017442826291599,18059
ease,ndcg,10,0.31282863897399754,0.307075316889512,0.31798659132005985,18059
ease,mrr,10,0.2562714409646687,0.2508202089139918,0.2613263744410956,18059
ease,hit_rate,20,0.5797663215017442,0.5729553131402625,0.5869137272274212,18059
ease,ndcg,20,0.33448610218462843,0.3291204654203574,0.339671763142234,18059
ease,mrr,20,0.26228063109716887,0.2569624947611593,0.2673716988909447,18059
ease,hit_rate,50,0.6663713383908301,0.6597804418849328,0.6734066116617753,18059
ease,ndcg,50,0.35181801378955957,0.3465306145564905,0.3569072865749068,18059
ease,mrr,50,0.2651226665417636,0.2598794051976986,0.27025144874505735,18059
als,hit_rate,10,0.48817763995791574,0.4804806467689241,0.4951021651254222,18059
als,ndcg,10,0.2964060238427211,0.2910225336993519,0.30140214522891046,18059
als,mrr,10,0.2372375335869992,0.23207568149636507,0.24200014755426874,18059
als,hit_rate,20,0.6121047677058531,0.605403123096517,0.6188604020156154,18059
als,ndcg,20,0.32778213473015855,0.3229207419492124,0.3325510440841277,18059
als,mrr,20,0.24587213513408646,0.24084199661313566,0.2506164891176458,18059
als,hit_rate,50,0.7474389501079794,0.7414004097679827,0.7541945844177419,18059
als,ndcg,50,0.3548267858104294,0.35001096268945625,0.3593150830379865,18059
als,mrr,50,0.25029147355767595,0.2452976716115199,0.2549867798208293,18059
