model,metric,k,value,ci_low,ci_high,n_sessions
two_tower,hit_rate,10,0.414197906860845,0.40699928013732767,0.42156265573952045,18059
two_tower,ndcg,10,0.24309064330508742,0.2381952486988193,0.248202178583059,18059
two_tower,mrr,10,0.19053820062458415,0.1860507693257638,0.1953396862972075,18059
two_tower,hit_rate,20,0.528656071764771,0.5218436790519962,0.535802093139155,18059
two_tower,ndcg,20,0.2720194660894784,0.2675715883995566,0.27667141938559303,18059
two_tower,mrr,20,0.19847450003663333,0.19410998578252558,0.2032035730219058,18059
sasrec_full,hit_rate,10,0.20372113627554128,0.19768536463813058,0.20964754416080625,18059
sasrec_full,ndcg,10,0.11688231416555765,0.11313983777164598,0.12081053969820638,18059
sasrec_full,mrr,10,0.09030343222435808,0.08683321346609041,0.09374819320182434,18059
sasrec_full,hit_rate,20,0.28744670247522014,0.2804695719585802,0.29404036768370345,18059
sasrec_full,ndcg,20,0.13799246196535167,0.13405937209792337,0.1418115936288649,18059
sasrec_full,mrr,20,0.09606599018188859,0.09257047303260689,0.09945865283502488,18059
sasrec_sampled,hit_rate,10,0.02984661387673736,0.027465529652804695,0.03256132676227919,18059
sasrec_sampled,ndcg,10,0.014933699504083131,0.01365908409951209,0.016397135699339226,18059
sasrec_sampled,mrr,10,0.010438250461230692,0.009319182076913679,0.011631288250944654,18059
sasrec_sampled,hit_rate,20,0.05587241818483858,0.05266072318511546,0.05936098344315854,18059
sasrec_sampled,ndcg,20,0.021413995120611585,0.020060325662293807,0.02296725785568448,18059
sasrec_sampled,mrr,20,0.012164423413471296,0.011052846488460749,0.013371734439720855,18059
