model,metric,k,value,ci_low,ci_high,n_sessions
popularity,hit_rate,10,0.010901996786779894,0.009676956621528574,0.012240838497437075,26142
popularity,ndcg,10,0.004471642055690499,0.003974763614399977,0.005031214297104234,26142
popularity,hit_rate,20,0.019088057531940938,0.017443194858847832,0.02081038176115064,26142
popularity,ndcg,20,0.00649037347009808,0.0059200751487487715,0.007129385030340199,26142
itemknn,hit_rate,10,0.3424757095861066,0.33685257440134647,0.3480223395302578,26142
itemknn,ndcg,10,0.21600859856538585,0.21218915520102596,0.2199344268136894,26142
itemknn,hit_rate,20,0.40394767041542345,0.39800799479764365,0.4095325529798791,26142
itemknn,ndcg,20,0.2316535279882506,0.22781642283449677,0.23552610544314873,26142
ease,hit_rate,10,0.3416724045597123,0.33604831305944455,0.34714444189426974,26142
ease,ndcg,10,0.21610329704044914,0.21234665216360704,0.22001622362516218,26142
ease,hit_rate,20,0.4005049345880193,0.39480433784714253,0.4061663223930839,26142
ease,ndcg,20,0.23106436077393486,0.22720542376540603,0.23506677633578346,26142
als,hit_rate,10,0.3372351006043914,0.331610052788616,0.3427444342437457,26142
als,ndcg,10,0.20475848766642568,0.20070975952085995,0.208612519520696,26142
als,hit_rate,20,0.4228444648458419,0.4169899013082396,0.42827824956009486,26142
als,ndcg,20,0.2264332327707112,0.2225808697063336,0.23023080835922757,26142
