model,protocol,metric,k,value,n_sessions,n_negatives
popularity,sampled_uniform,hit_rate,10,0.34542333462539454,18059,100
popularity,sampled_uniform,hit_rate,20,0.5046791073702863,18059,100
popularity,sampled_uniform,ndcg,10,0.1938335464657784,18059,100
popularity,sampled_uniform,ndcg,20,0.23385792621140092,18059,100
popularity,sampled_uniform,mrr,10,0.14778171988288827,18059,100
popularity,sampled_uniform,mrr,20,0.1586410399794338,18059,100
popularity,sampled_popularity,hit_rate,10,0.11539952378315521,18059,100
popularity,sampled_popularity,hit_rate,20,0.2201118555844731,18059,100
popularity,sampled_popularity,ndcg,10,0.05451332243746718,18059,100
popularity,sampled_popularity,ndcg,20,0.08069640817736752,18059,100
popularity,sampled_popularity,mrr,10,0.03645183731982558,18059,100
popularity,sampled_popularity,mrr,20,0.043484516728777844,18059,100
itemknn,sampled_uniform,hit_rate,10,0.7936762832936486,18059,100
itemknn,sampled_uniform,hit_rate,20,0.8163242704468686,18059,100
itemknn,sampled_uniform,ndcg,10,0.7438220032761982,18059,100
itemknn,sampled_uniform,ndcg,20,0.7494774208181734,18059,100
itemknn,sampled_uniform,mrr,10,0.7273346535210427,18059,100
itemknn,sampled_uniform,mrr,20,0.728849791624684,18059,100
itemknn,sampled_popularity,hit_rate,10,0.7920150617420677,18059,100
itemknn,sampled_popularity,hit_rate,20,0.8155490337227975,18059,100
itemknn,sampled_popularity,ndcg,10,0.7205603724117745,18059,100
itemknn,sampled_popularity,ndcg,20,0.7264131460067152,18059,100
itemknn,sampled_popularity,mrr,10,0.6969229166831471,18059,100
itemknn,sampled_popularity,mrr,20,0.6984783827618318,18059,100
ease,sampled_uniform,hit_rate,10,0.7875297635527991,18059,100
ease,sampled_uniform,hit_rate,20,0.7941192757074035,18059,100
ease,sampled_uniform,ndcg,10,0.7368265291700321,18059,100
ease,sampled_uniform,ndcg,20,0.7384735036085521,18059,100
ease,sampled_uniform,mrr,10,0.7199802762901495,18059,100
ease,sampled_uniform,mrr,20,0.7204221593863337,18059,100
ease,sampled_popularity,hit_rate,10,0.7813278697602304,18059,100
ease,sampled_popularity,hit_rate,20,0.7922919320006645,18059,100
ease,sampled_popularity,ndcg,10,0.7048642849007879,18059,100
ease,sampled_popularity,ndcg,20,0.7076501265450338,18059,100
ease,sampled_popularity,mrr,10,0.6796541231255224,18059,100
ease,sampled_popularity,mrr,20,0.680426192645898,18059,100
als,sampled_uniform,hit_rate,10,0.9152777008693727,18059,100
als,sampled_uniform,hit_rate,20,0.9301179467301622,18059,100
als,sampled_uniform,ndcg,10,0.8490823658033104,18059,100
als,sampled_uniform,ndcg,20,0.8528543298462735,18059,100
als,sampled_uniform,mrr,10,0.8269467494992164,18059,100
als,sampled_uniform,mrr,20,0.8279926999947715,18059,100
als,sampled_popularity,hit_rate,10,0.9119552577662108,18059,100
als,sampled_popularity,hit_rate,20,0.9265186333684036,18059,100
als,sampled_popularity,ndcg,10,0.8196288158028262,18059,100
als,sampled_popularity,ndcg,20,0.8232746154007186,18059,100
als,sampled_popularity,mrr,10,0.7889089949433822,18059,100
als,sampled_popularity,mrr,20,0.7898912971552862,18059,100
