blend,sources,budget,recall
all,5,500,0.9390331690569799
als+two_tower,2,500,0.9214795946619414
als+sasrec,2,500,0.9205382357827122
ease+als,2,500,0.9111246469904203
itemknn+als,2,500,0.9084666925078908
ease+two_tower,2,500,0.907580707680381
two_tower+sasrec,2,500,0.9058641120770807
itemknn+two_tower,2,500,0.9056979899219226
als,1,500,0.8987762334570021
two_tower,1,500,0.8803920482861731
ease+sasrec,2,500,0.8731934215626558
itemknn+sasrec,2,500,0.8726950550971815
itemknn+ease,2,500,0.7860900382080956
itemknn,1,500,0.7781161747605072
ease,1,500,0.7742953651918711
sasrec,1,500,0.7538623401074257
