model,n,recall
itemknn,50,0.6747328202004541
itemknn,100,0.7216346420067556
itemknn,200,0.7548590730383742
itemknn,500,0.7781161747605072
itemknn,1000,0.7879173819148347
itemknn,2000,0.8048064676892408
ease,50,0.6663713383908301
ease,100,0.7113904424386732
ease,200,0.7439503848496595
ease,500,0.7742953651918711
ease,1000,0.7848718090702697
ease,2000,0.7913505731214353
als,50,0.7474389501079794
als,100,0.8198682097569079
als,200,0.868984993631984
als,500,0.8987762334570021
als,1000,0.9115676394041752
als,2000,0.9240268010410322
two_tower,50,0.6626059028739133
two_tower,100,0.7484356830389279
two_tower,200,0.8147737969987264
two_tower,500,0.8803920482861731
two_tower,1000,0.9127858685420012
two_tower,2000,0.9385348025915056
sasrec,50,0.406445539620134
sasrec,100,0.5132067113350683
sasrec,200,0.6221828451187773
sasrec,500,0.7538623401074257
sasrec,1000,0.83537294423833
sasrec,2000,0.8976687524226148
